id,title,title_original,director_id,release_date,mins,country,genre,imdb,youtube,youtube_title,wikipedia,famous,itunes
departures_okuribito-2008,Departures,Okuribito,takita-yojiro,2008-08-23,130,Japan,Drama,http://www.imdb.com/title/tt1069238/?ref_=ttrel_rel_tt,Ks6ZghMqJqA,Trailer,,1,
rock-a-bye-baby,Rock-a-Bye Baby,Rock-a-Bye Baby,tashlin-frank,1958-07-23,103,USA,Comedy,http://www.imdb.com/title/tt0052141/?ref_=ttrel_rel_tt,uHCRY7AS4sY,Rock a Bye Baby (1958) - Jerry Lewis & Dean Martin Full Length Comedy Movie,,1,
mon-oncle,Mon Oncle,Mon oncle,tati-jacques,1958-05-09,117,France,Comedy,http://www.imdb.com/title/tt0050706/?ref_=ttrel_rel_tt,NHJcwMrqnJo,Trailer,,1,
alice-and-martin,Alice and Martin,Alice et Martin,techine-andre,1998-10-23,124,France-Spain,Drama-Romance,http://www.imdb.com/title/tt0176422/?ref_=ttrel_rel_tt,MYj5kO_SqzY,Trailer,,1,
cinema-paradiso,Cinema Paradiso,Nuovo Cinema Paradiso,tornatore-giuseppe,1988-09-29,123,Italy-France,Drama-Comedy,http://www.imdb.com/title/tt0095765/?ref_=ttrel_rel_tt,stLekU5BnbI,Trailer,,1,
i-walked-with-a-zombie,I Walked with a Zombie,I Walked with a Zombie,tourneur-jacques,1943-04-08,69,USA,Horror-Drama-Romance,http://www.imdb.com/title/tt0036027/?ref_=ttrel_rel_tt,1sgJVEwbX-Y,I Walked with a Zombie (1943) - An Appreciation,,1,
scent-of-green-papaya,The Scent of Green Papaya,Mùi du du xanh,tran-anh-hung,1993-05-01,104,France,Drama,http://www.imdb.com/title/tt0107617/?ref_=ttrel_rel_tt,s7075x1MEl8,The Scent of Green Papaya ,,1,
everlasting-moments-2008,Everlasting Moments,Maria Larssons eviga ögonblick,troell-jan,2008-09-05,131,Sweden-Denmark-Norway-Finland-Germany,Drama,http://www.imdb.com/title/tt0961066/?ref_=ttrel_rel_tt,ZL2VMIoVkg4,Trailer,,1,
stolen-kisses,Stolen Kisses,Baisers volés,truffaut-francois,1968-08-14,90,France,Romance-Comedy-Drama,http://www.imdb.com/title/tt0062695/?ref_=ttrel_rel_tt,ynk-YN2XEsU,clip,,1,
green-room,The Green Room,La chambre verte,truffaut-francois,1978-04-05,95,France,War-Drama,http://www.imdb.com/title/tt0077315/?ref_=ttrel_rel_tt,HV3P6WR9mb8,La Chambre Verte - Mazet - Truffaut,,1,
hole-dong,The Hole,Dong,tsai-ming-liang,1998-05-16,95,Taiwan-France,Musical-Drama-Fantasy,http://www.imdb.com/title/tt0156610/?ref_=ttrel_rel_tt,iPdYX5NxG0U,Grace Chang - Tiger Lady - The Hole (1998) - Tsai Ming-liang,,1,
hilary-and-jackie,Hilary and Jackie,Hilary and Jackie,tucker-anand,1998-09-05,122,UK,Biography-Drama-Music,http://www.imdb.com/title/tt0150915/?ref_=ttrel_rel_tt,O8GtFebkN5U,Trailer,,1,
run-lola_run,Run Lola Run,Lola rennt,tykwer-tom,1998-08-20,80,Germany,Thriller-Crime-Action,http://www.imdb.com/title/tt0130827/?ref_=ttrel_rel_tt,UzzYyXVMrVA,Trailer,,1,
ruthless_1948,Ruthless,Ruthless,ulmer-edgar-g,1948-04-16,104,USA,Drama-Film-Noir,http://www.imdb.com/title/tt0040751/?ref_=ttrel_rel_tt,q0hqcJZYQsY,Ruthless 1948,,1,
barbarella,Barbarella,Barbarella,vadim-roger,1968-10-10,98,France-Italy,Adventure-Comedy-Fantasy,http://www.imdb.com/title/tt0062711/?ref_=ttrel_rel_tt,x7c6wKQ9fuU,Trailer,,1,
white-shadows-in-the-south-seas,White Shadows in the South Seas,White Shadows in the South Seas,van-dyke-w_s,1928-07-31,88,USA,Drama-Romance,http://www.imdb.com/title/tt0019574/?ref_=ttrel_rel_tt,jw7dqivMhLA,Trailer,,1,
milk_2008,Milk,Milk,van-sant-gus,2008-10-28,128,USA,Biography-Drama-History,http://www.imdb.com/title/tt1013753/?ref_=ttrel_rel_tt,N3ki8YUHhYI,Trailer,,1,
beaches-of-agnes,The Beaches of Agnès,Les plages d'Agnès,varda-agnes,2008-09-03,110,France,Documentary-Biography,http://www.imdb.com/title/tt1129435/?ref_=ttrel_rel_tt,5TQNsbo7a-c,Trailer,,1,
kung-fu-master_,Kung-fu Master!,Le Petit Amour,varda-agnes,1988-02-01,80,France,Drama-Romance,http://www.imdb.com/title/tt0093371/?ref_=ttrel_rel_tt,,,,0,
robocop,Robocop,Robocop,verhoeven-paul,1987-07-17,103,USA,Science Fiction-Crime,http://www.imdb.com/title/tt0093870/?ref_=ttrel_rel_tt,,,,0,
show-people,Show People,Show People,vidor-king,1928-10-20,83,USA,Comedy-Romance ,http://www.imdb.com/title/tt0019379/?ref_=ttrel_rel_tt,5gCI3z88VI8,Trailer,,1,
citadel_1938,The Citadel,The Citadel,vidor-king,1938-10-29,110,UK-USA,Drama,http://www.imdb.com/title/tt0029995/?ref_=ttrel_rel_tt,LHPsQyo1hxE,Trailer,,1,
celebration_1998,The Celebration,Festen,vinterberg-thomas,1998-06-19,105,Denmark,Drama,http://www.imdb.com/title/tt0154420/?ref_=ttrel_rel_tt,f5UozqwA3KY,Trailer,,1,
obsession_ossessione,Obsession,Ossessione,visconti-luchino,1943-05-16,140,Italy,Drama,http://www.imdb.com/title/tt0035160/?ref_=ttrel_rel_tt,Fa4LaL_C6G4,Clip,,1,
la-terra-trema,La Terra Trema,La Terra Trema,visconti-luchino,1948-09-02,160,Italy,Drama,http://www.imdb.com/title/tt0040866/?ref_=ttrel_rel_tt,Wjl8uFYrbhA,La terra trema- selezione scene,,1,
docks-of-new-york,The Docks of New York,The Docks of New York,von-sternberg-josef,1928-09-16,76,USA,Romance-Drama-Crime,http://www.imdb.com/title/tt0018839/?ref_=ttrel_rel_tt,ALpcMoS5GY0,The Docks of New York,,1,
wedding-march,The Wedding March,The Wedding March,von-stroheim-erich,1928-10-06,113,USA,Romance-Drama,http://www.imdb.com/title/tt0019558/?ref_=ttrel_rel_tt,iCRVTLxp0hY,The Wedding March,,1,
idiots_1998,The Idiots,Idioterne,von-trier-lars,1998-05-20,117,Denmark-Spain-Sweden-France-Netherlands-Italy,Drama-Comedy,http://www.imdb.com/title/tt0154421/?ref_=ttrel_rel_tt,PvdJcJHsNmc,Clip,,1,
